City,Transport_Mode,Brand,Weather_Condition,Time_of_Day,Emergency_Alert,Speed_Limit_kmh,Past_Accidents_in_Region,accident_probability
Kurunegala,Bus,Toyota,Clear,Morning (06:00-10:00),None,70,27,0.4365
Negombo,Car,Toyota,Clear,Morning (06:00-10:00),None,30,26,0.2868
Colombo,Car,Honda,Clear,Midday (10:00-14:00),None,80,116,0.948
Anuradhapura,Bus,Toyota,Clear,Morning (06:00-10:00),Police Checkpoint,50,22,0.3159
Colombo,Bus,Toyota,Light Rain,Evening (18:00-22:00),None,60,94,0.8761
Trincomalee,Motorcycle,Honda,Heavy Rain,Afternoon (14:00-18:00),Road Work,60,11,0.606
Kurunegala,Bus,Ashok Leyland,Heavy Rain,Night (22:00-00:00),Flood Alert,80,36,0.8086
Galle,Motorcycle,Honda,Clear,Midday (10:00-14:00),None,70,30,0.5693
Kurunegala,Bus,Isuzu,Clear,Evening (18:00-22:00),None,50,20,0.3376
Trincomalee,Car,Honda,Clear,Midday (10:00-14:00),Accident Nearby,30,15,0.3204
Batticaloa,Three-Wheeler,TVS,Clear,Morning (06:00-10:00),Police Checkpoint,80,8,0.3305
Kandy,Car,Suzuki,Windy,Afternoon (14:00-18:00),None,40,39,0.4513
Anuradhapura,Car,Mitsubishi,Overcast,Evening (18:00-22:00),None,40,15,0.2506
Trincomalee,Car,Toyota,Heavy Rain,Evening (18:00-22:00),None,40,3,0.2554
Kurunegala,Car,Suzuki,Clear,Night (22:00-00:00),None,100,10,0.4667
Batticaloa,Bus,Isuzu,Clear,Evening (18:00-22:00),Accident Nearby,80,8,0.4338
Galle,Motorcycle,Bajaj,Overcast,Night (22:00-00:00),Road Work,50,17,0.4885
Negombo,Bus,Ashok Leyland,Fog,Midday (10:00-14:00),None,60,30,0.5362
Colombo,Three-Wheeler,Bajaj,Overcast,Afternoon (14:00-18:00),None,50,77,0.8197
Trincomalee,Three-Wheeler,Bajaj,Clear,Evening (18:00-22:00),Police Checkpoint,30,5,0.1652
Negombo,Bus,Isuzu,Heavy Rain,Morning (06:00-10:00),None,60,40,0.6547
Kandy,Three-Wheeler,TVS,Storm,Night (22:00-00:00),Accident Nearby,70,42,0.8409
Kurunegala,Motorcycle,Honda,Clear,Afternoon (14:00-18:00),None,40,24,0.456
Galle,Car,Nissan,Overcast,Early Morning (00:00-06:00),None,30,14,0.2034
Colombo,Bus,Toyota,Clear,Morning (06:00-10:00),None,40,86,0.7187
Colombo,Van,Isuzu,Clear,Afternoon (14:00-18:00),None,30,102,0.8557
Kurunegala,Motorcycle,Suzuki,Overcast,Evening (18:00-22:00),None,100,14,0.6588
Colombo,Motorcycle,Honda,Heavy Rain,Morning (06:00-10:00),None,60,109,0.9723
Colombo,Motorcycle,Suzuki,Clear,Night (22:00-00:00),None,80,84,0.9164
Negombo,Bus,Isuzu,Fog,Night (22:00-00:00),Police Checkpoint,80,24,0.6028
Colombo,Car,Nissan,Fog,Night (22:00-00:00),None,30,84,0.8567
Galle,Van,Isuzu,Clear,Afternoon (14:00-18:00),None,80,38,0.5845
Kurunegala,Car,Nissan,Clear,Night (22:00-00:00),None,60,23,0.3957
Anuradhapura,Bus,Isuzu,Overcast,Night (22:00-00:00),None,30,8,0.2059
